MBO Permanent Identifier*,Data Entry Person (mPID - you)*,Data Entered for Action (mPID)*,Organization Type*,Name*,Legal Name,Alternate Name,Identifiers,URL,Description,Founding Date,Dissolution Date,Contact Points (mPIDs),Parent Organization (mPID),Member of Organizations (mPIDs),Has Departments (mPIDs),Grants (mPIDs),Keywords
mbo_org_lifewatch_eric,mbo_sformel,mbo_db_tool_population,ResearchOrganization,LifeWatch-ERIC,LifeWatch European Research Infrastructure Consortium,LifeWatch,,,European Research Infrastructure for biodiversity and ecosystem research,,,,,mbo_org_mbo,,,"biodiversity, e-science, ERIC, ecosystem research"
mbo_org_mbo,mbo_roblinksdata,mbo_db_task_1_1,ResearchProject,MARCO-BOLO,MARine COastal BiOdiversity Long-term Observations,MBO,,https://marcobolo-project.eu/,"The future of ocean health restoration may require increased biodiversity observation capabilities to support EU biodiversity directives and global initiatives. In this context, the EU-funded MARCO-BOLO project will reinforce European coastal and marine biodiversity observation capabilities. It will connect them to global efforts to understand and restore ocean health. The project will explore end user needs to optimise marine data flows and knowledge adoption and improve biodiversity observation-based governance. MARCO-BOLO will develop and demonstrate new autonomous technology for biodiversity mapping and monitoring, and data streams from remote sensing, eDNA, robotics, and optical and acoustic observations. It will then incorporate the sequence of processes into operational Essential Ocean Variables and Essential Biodiversity Variables, including them in online reusable workflows.",2022-12-01,2026-11-30,mbo_contact_email|mbo_contact_nick|mbo_contact_giulia|mbo_contact_mathilde,,mbo_org_mbo,mbo_org_mbo_wp1|mbo_org_mbo_wp2|mbo_org_mbo_wp3|mbo_org_mbo_wp4|mbo_org_mbo_wp5|mbo_org_mbo_wp6|mbo_org_mbo_wp7,mbo_todo_monetary_grant_mbo_horizon_europe|mbo_todo_monetary_grant_mbo_horizon_europe_guarantee_noc|mbo_todo_monetary_grant_mbo_horizon_europe_guarantee_mba|mbo_todo_monetary_grant_mbo_horizon_europe_guarantee_mss,MARCO-BOLO
mbo_org_mbo_wp1,mbo_roblinksdata,mbo_db_task_1_1,ResearchProject,MARCO-BOLO Work Package 1,,MBO WP1,,https://marcobolo-project.eu/work-packages/work-package-1-delivering-essential-biodiversity-variables-local-to-global-biodiversity-metadata-for-coastal-and-marine-systems/,Delivering Essential Biodiversity Variables: Local to Global Biodiversity (meta)Data for Coastal and Marine Systems,,,,,mbo_org_mbo,,,MARCO-BOLO
mbo_org_mbo_wp2,mbo_roblinksdata,mbo_db_task_1_1,ResearchProject,MARCO-BOLO Work Package 2,,MBO WP2,,https://marcobolo-project.eu/work-packages/work-package-2-validating-the-use-of-edna/,Validating the Use of eDNA,,,,,mbo_org_mbo,,,MARCO-BOLO
mbo_org_mbo_wp3,mbo_roblinksdata,mbo_db_task_1_1,ResearchProject,MARCO-BOLO Work Package 3,,MBO WP3,,https://marcobolo-project.eu/work-packages/work-package-3-linking-land-and-sea-biodiversity-observation/,Linking Land and Sea Biodiversity Observation,,,,,mbo_org_mbo,,,MARCO-BOLO
mbo_org_mbo_wp4,mbo_roblinksdata,mbo_db_task_1_1,ResearchProject,MARCO-BOLO Work Package 4,,MBO WP4,,https://marcobolo-project.eu/work-packages/work-package-4-mapping-biodiversity-with-autonomous-systems/,Mapping Biodiversity with Autonomous Systems,,,,,mbo_org_mbo,,,MARCO-BOLO
mbo_org_mbo_wp5,mbo_roblinksdata,mbo_db_task_1_1,ResearchProject,MARCO-BOLO Work Package 5,,MBO WP5,,https://marcobolo-project.eu/work-packages/work-package-5-modelling-and-mapping-coastal-and-marine-biodiversity/,Modelling and Mapping Coastal and Marine Biodiversity,,,,,mbo_org_mbo,,,MARCO-BOLO
mbo_org_mbo_wp6,mbo_roblinksdata,mbo_db_task_1_1,ResearchProject,MARCO-BOLO Work Package 6,,MBO WP6,,https://marcobolo-project.eu/work-packages/work-package-6-stakeholder-engagement-and-community-integration/,Stakeholder Engagement and Community Integration,,,,,mbo_org_mbo,,,MARCO-BOLO
mbo_org_mbo_wp7,mbo_roblinksdata,mbo_db_task_1_1,ResearchProject,MARCO-BOLO Work Package 7,,MBO WP7,,https://marcobolo-project.eu/work-packages/work-package-7-project-management-linkages-and-communication/,"Project Management, Linkages and Communication",,,,,mbo_org_mbo,,,MARCO-BOLO
mbo_org_mba,mbo_sformel,mbo_task_jwd_test,GovernmentOrganization,MBA,Marine Biological Association Of The United Kingdom,DASSH,https://ror.org/0431sk359,https://www.mba.ac.uk/,"Focused on marine biology, our mission is to understand and disseminate the causes and consequences of environmental change in the ocean through research and discovery",,,,,mbo_org_mbo,,mbo_todo_monetary_grant_mbo_horizon_europe_guarantee_mba,"marine biology, UK, scientific society"
mbo_org_ms,mbo_sformel,mbo_db_tool_population,GovernmentOrganization,MS,Marine Scotland,,https://ror.org/02kh2f959,,Scottish government marine directorate,,,,,mbo_org_mbo,,,"government, marine management, Scotland, UK"
mbo_org_noc,mbo_sformel,mbo_db_tool_population,ResearchOrganization,NOC,National Oceanography Centre,,https://ror.org/00874hx02,,National Oceanography Centre,,,,,mbo_org_mbo,,,"oceanography, UK"
mbo_org_norce,mbo_sformel,mbo_db_tool_population,ResearchOrganization,NORCE,Norce Norwegian Research Centre As,,https://ror.org/02gagpf75,,Norwegian Research Centre,,,,,mbo_org_mbo,,,"research centre, Norway"
mbo_org_obis,mbo_sformel,mbo_db_tool_population,GovernmentOrganization,OBIS,Intergovernmental Oceanographic Commission of UNESCO,Ocean Biodiversity Information System,https://ror.org/00d21gf72,https://obis.org/,"The Ocean Biodiversity Information System (OBIS) is a global open-access data platform that provides information on the distribution and abundance of marine life. Operating as a program under UNESCO's Intergovernmental Oceanographic Commission (IOC-UNESCO), OBIS integrates biodiversity data from over 30 regional and thematic nodes worldwide, making millions of marine species occurrence records freely available for research, conservation, and sustainable ocean management.",2000,,mbo_contact_sformel,,mbo_org_mbo,,,"OBIS, Biodiversity, UNESCO"
mbo_org_sgn,mbo_sformel,mbo_db_tool_population,ResearchOrganization,SGN,Senckenberg Gesellschaft Fur Naturforschung,Senckenberg,https://ror.org/01wz97s39,https://www.senckenberg.de/en/,Senckenberg Society for Nature Research,,,,,mbo_org_mbo,,,"natural history, biodiversity research, Germany"
mbo_org_ssbe,mbo_sformel,mbo_db_tool_population,ProfessionalService,SSBE,Seascape Belgium,,,https://www.seascapebelgium.be/,Professional service organization for marine research,,,,,mbo_org_mbo,,,"marine consultancy, Belgium"
mbo_org_su,mbo_sformel,mbo_db_tool_population,CollegeOrUniversity,SU,Sorbonne Universite,,https://ror.org/02en5vm52,,Sorbonne University,,,,,mbo_org_mbo,,,"university, France"
mbo_szn,mbo_sformel,mbo_db_tool_population,ResearchOrganization,SZN,Stazione Zoologica Anton Dohrn,,https://ror.org/03v5jj203,,Anton Dohrn Zoological Station,,,,,mbo_org_mbo,,,"zoological station, marine biology, Italy"
mbo_org_ub,mbo_sformel,mbo_db_tool_population,CollegeOrUniversity,UB,Universitatea Din Bucuresti,,https://ror.org/02x2v6p15,,University of Bucharest,,,,,mbo_org_mbo,,,"university, Romania"
mbo_org_ufz,mbo_sformel,mbo_db_tool_population,ResearchOrganization,UFZ,Helmholtz-Zentrum Fur Umweltforschung Gmbh - Ufz,,https://ror.org/000h6jb29,,Helmholtz Centre for Environmental Research,,,,,mbo_org_mbo,,,"environmental research, Helmholtz, Germany"
mbo_org_ugot,mbo_sformel,mbo_db_tool_population,ResearchOrganization,UGOT,Goeteborgs Universitet,,https://ror.org/01tm6cn81,https://www.gu.se/en/biological-environmental-sciences,University of Gothenburg,,,,,mbo_org_mbo,,,"university, Sweden"
mbo_org_uit,mbo_sformel,mbo_db_tool_population,CollegeOrUniversity,UiT,Universitetet I Tromsoe - Norges Arktiske Universitet,,https://ror.org/00wge5k78,,The Arctic University of Norway,,,,,mbo_org_mbo,,,"Arctic research, university, Norway"
mbo_org_uit_genetics,mbo_madsrj,mbo_db_tool_population,CollegeOrUniversity,UiT Research Group for Genetics,UiT - The Arctic University of Norway,RGG (Research Group for Genetics),,https://uit.no/research/genetics,"UiT strategy: ""Eallju – Developing the High North"". In our research group, we focus specifically on the genetics and molecular ecology of sub-Arctic and Arctic fishes and other vertebrates as the unifying concept governing teaching and research carried out. In later years, this has included implementing eDNA in all its facets.",1968,,,,mbo_org_mbo,,,
mbo_org_ukri,mbo_roblinksdata,mbo_db_tool_population,GovernmentOrganization,UK Research and Innovation,United Kingdom Resarch and Innovation,UKRI,https://ror.org/001aqnf71,https://www.ukri.org/,,2018-04-01,,,,mbo_org_mbo,,,
mbo_org_ukrsces,mbo_sformel,mbo_db_tool_population,ResearchOrganization,UkrSCES,Ukrainian Scientific Centre Of Ecology Of The Sea,,https://ror.org/0303yjn29,,Ukrainian Scientific Centre of Ecology of the Sea,,,,,mbo_org_mbo,,,"marine ecology, Ukraine"
mbo_org_unesco,mbo_sformel,mbo_db_tool_population,Organization,UNESCO,United Nations Educational Scientific And Cultural Organization,,https://ror.org/04h4z8k05,,"United Nations agency for education, science and culture",,,,,mbo_org_mbo,,,"United Nations, education, science, culture, intergovernmental"
mbo_org_univie,mbo_sformel,mbo_db_tool_population,CollegeOrUniversity,UNIVIE,Universitat Wien,,https://ror.org/03prydq77,,University of Vienna,,,,,mbo_org_mbo,,,"university, Austria"
mbo_org_use,mbo_sformel,mbo_db_tool_population,CollegeOrUniversity,USE,Universidad De Sevilla,,https://ror.org/03yxnpp24,,University of Seville,,,,,mbo_org_mbo,,,"university, Spain"
mbo_org_vliz,mbo_sformel,mbo_db_tool_population,ResearchOrganization,VLIZ,Vlaams Instituut Voor De Zee,Flanders Marine Institute,https://ror.org/0496vr396,,Flanders Marine Institute,,,,,mbo_org_mbo,,,"marine research, Belgium, Flanders"
mbo_zenodo,mbo_sformel,mbo_db_tool_population,ArchiveOrganization,Zenodo,European Organization for Nuclear Research (CERN),CERN,https://ror.org/01ggx4157,https://zenodo.org/,"Zenodo is a free, open-access repository hosted by CERN that allows researchers to share and preserve research outputs of all types, including publications, datasets, software, and multimedia. It provides DOIs for permanent citation, ensures long-term preservation, and accepts uploads from all research fields without restrictions. The platform is built on the principle that all research outputs should be openly accessible and citable.",,,,,mbo_org_mbo,,,
mbo_european_commission,mbo_sformel,mbo_db_tool_population,GovernmentOrganization,European Commission,European Commission,"EC, Commission of the European Union, Commission européenne",https://ror.org/00k4n6c32|https://www.wikidata.org/wiki/Q8880|https://isni.org/isni/0000000404559054,https://ec.europa.eu,"The European Commission is the executive branch of the European Union, responsible for proposing legislation, implementing decisions, upholding the EU treaties and managing the day-to-day business of the EU. The Commission operates as a cabinet government, with 27 members of the Commission (one from each member state) led by a President. It manages EU research and innovation funding programs including Horizon Europe.",1958-01-01,,,,,,mbo_todo_monetary_grant_mbo_horizon_europe,"European Union, EU institutions, research funding, Horizon Europe, policy making, innovation, public administration"
mbo_org_ena,mbo_sformel,mbo_db_tool_population,ArchiveOrganization,European Nucleotide Archive,,,,,,,,,,,,,
